order	family	scientificName
	Anomiidae	Anomia peruviana
	Pectinidae	Patinopecten caurinus
	Lucinidae	Lucinisca nuttalli
	Veneridae	Chione californiensis
	Pectinidae	Leptopecten latiauratus
	Veneridae	Leukoma staminea
	Veneridae	Chione undatella
	Lucinidae	Parvilucina tenuisculpta
	Pholadidae	Undetermined
Sorbeochoncha	Hydrobiidae	Potamopyras antipodarum
Unionoida	Unionidae	Gonidea angulata
	Ischnochitonidae	Lepidochitona flectens
	Ischnochitonidae	Lepidochitona thomasi
	Mopaliidae	Mopalia lowei
	Leptochitonidae	Leptochiton rugatus
	Ischnochitonidae	Lepidozona radians
	Ischnochitonidae	Cyanoplax fackenithallae
	Ischnochitonidae	Chaetopleura gemma
	Ischnochitonidae	Callistochiton crassicostatus
	Ischnochitonidae	Callistochiton
	Acanthochitonidae	Cryptochiton
	Ischnochitonidae	Stenoplax fallax
	Chitonidae	Chiton conspicuus
	Ischnochitonidae	Tonicella lineata
	Ischnochitonidae	Lepidochitona hartwegii
	Chitonidae	Chiton muscosa
	Ischnochitonidae	Lepidozona mertensii
	Mopaliidae	Mopalia lignosa
	Mopaliidae	Mopalia muscosa
	Ischnochitonidae	Nuttallina fluxa
	Ischnochitonidae	Stenoplax magdalenensis
Pulmonata	Physidae	Physa
	Arctopsychidae	Parapsyche elsis
	Rhaphidiidae	Agulla
	undetermined	undetermined
	Eutichuridae	Cheiracanthium mildei L. Koch, 1864
	Protziidae	Protzia
	Linotetranidae	undetermined
	Eupalopsellidae	Eupalopsellus sp. Selinick, 1916
	Caligonellidae	Neognathus terrestris (Summers and Schlinger, 1955)
	Raphignathidae	Raphignathus collegiatus
	Raphignathidae	Raphignathus gracilis (Rack, 1962)
	Raphignathidae	Raphignathus sp. Duges, 1834
	Raphignathidae	undetermined
	Caligonellidae	Caligonella humilis (Koch, 1838)
	Caligonellidae	Coptocheles triscutatus Summers & Schlesinger, 1955
	Caligonellidae	Molothrognathus fulgidus Summers and Schilinger, 1955
	Caligonellidae	Molothrognathus leptostylus Summer and Schlinger, 1955
	Caligonellidae	Molothrognathus sp. Summers and Schlesinger, 1955
	Caligonellidae	undetermined
	Calicidae	undetermined
	Mutilidae	undetermined
	Trogulidae	Ortholasma
	Ischyropsalidae	Taracus
	Rhizoecidae	Rhizoecus
	Monophlebidae	Icerya purchasi Maskell, 1879
	Polycentropidae	Polycentropus
		Ectemnius spiniferus (W. Fox, 1895)
	Declonidae	Deoclona yuccasella Busck, 1903
	Bedellidae	Bedellia somnulentella (Zeller, 1847)
	Leiobunidae	undetermined
	Trogulidae	Dendrolasma
	Trogulidae	Ortholasma rugosa
		Spirobolida
	Megachildae	Megachildae
		Polydesmida
		Chordeumatida
		Julida
		Scolopendromorpha
		Spirostreptida
		Byrrhoidea
		Polyzoniida
		Platydesmida
		Geophilomorpha
		Lithobiomorpha
		Odonata
		Anisoptera
		Scutigeromorpha
		Callipodida
		Glomerida
		Hippoboscoidea
		Sarrothripa columbiana
	Pteronarcynidae	Pteronarcella regularis
		Blattodea brunner
		Glomeridesmida latzel
		Schizomida
	incertae sedis	harpagonopus confluentus
		Var. decia
		Euclidea cuspidea
	Surperstitioniidae	Superstitionia donensis
		Phasmida
		Eupsephopaectus procinctus
		Helolionche modicella
		Tidesmus episcopus
		Var. dimidiata
	Corimelaenidae	Allocoris nigra
	Monophlebidae	Crypticerya tabernicola
	Monophlebidae	Crypticerya townsendi
	Corimelaenidae	Allocoris extensa
	Corimelaenidae	Allocoris incognita
	Monophlebidae	Crypticerya palmeri
	Corimelaenidae	Allocoris minuta
		Ashmeadiella aridula astragali
		Ashmeadiella cactorum basalis
		Lasioglossum (Dialictus)
	Ulidiidae	Chaetopsis massyla
	Ulidiidae	Ceroxys latiusculus
		Proctotrupoidea
	Dryophthoridae	Sphenophorus venatus
		Charopus n.sp.
	Dryophthoridae	Yuccaborus frontalis
		Cymatodera new species 1
	Dryophthoridae	Rhodobaenus tredecimpunctatus
	Dryophthoridae	Cactophagus spinolae
	Dryophthoridae	Sphenophorus australis
		Platyceroides californicus
		Scaphomorphus erysimi
	Dryophthoridae	Sphenophorus aequalis
	Dryophthoridae	Sitophilus oryzae
		Scaphomorphus longinasus
		Cymatodera new species 2
		Acrotrichis insularis
		Phyllophaga (Acilius) denticulata
		Dermacentor (Agapostemon) albipictus
	Blepharipodidae	Blepharipoda occidentalis
	Superstitionidae	Superstitionia donensis
	Archotermopsidae	Zootermopsis angusticollis
	Thoridae	Heptacarpus sitchensis
	Thoridae	Heptacarpus brevirostris
	Steingeliidae	Stomacoccus platani
	Archotermopsidae	Zootermopsis nevadensis
	Lysmatidae	Lysmata californica
	Carcinidae	Carcinus maenas
	Dryophthoridae	Cactophagus spinolae validus
